text,label
Shell improved data integrity through strengthened internal controls.,1
Shell committed to embedding sustainability into oil and gas operations.,1
Shell achieved reduced air-freight related emissions through operational optimisation.,1
Shell invested in renewable electricity sourcing across Europe.,1
Shell linked long-term incentive plans to emissions reduction performance.,1
Shell achieved progress toward halving operational emissions by 2030.,1
Shell maintained independent assurance of its greenhouse gas emissions data.,1
Shell improved ethical recruitment practices across its supply chain.,1
Shell committed to supporting a just transition through workforce reskilling.,1
Shell reported continued progress toward net-zero ambitions.,1
Shell maintained methane emissions below industry thresholds.,1
Greenhouse gas emissions are categorized into Scope 1 Scope 2 and Scope 3.,0
Scope 1 emissions refer to direct emissions from owned or controlled sources.,0
Scope 2 emissions relate to purchased electricity heat  or steam.,0
Scope 3 emissions include value chain emissions.,0
Net carbon intensity is expressed using grams of CO₂ equivalent per megajoule.,0
The reporting boundary includes operated assets.,0
Certain joint ventures are excluded based on operational control criteria.,0
Emissions data is aggregated at the group level.,0
Methodology aligns with the Greenhouse Gas Protocol.,0
Independent assurance providers are named in the appendix.,0
Financial figures are reported in euros unless otherwise stated.,0
Water-related metrics are disclosed for water-stressed regions.,0
Safety performance indicators are defined in the glossary.,0
Lost Time Injury Frequency is measured per million hours worked.,0
Renewable electricity purchases are tracked at site level.,0
Biodiversity considerations are described for selected projects.,0
Methane intensity is calculated as a percentage of gas production.,0
Carbon credits are classified as nature-based or technology-based.,0
The report includes a summary of acquisitions completed during the year.,0
Solar and wind projects are listed by country.,0
Emissions data is rounded to the nearest whole number.,0
Historical baselines are referenced for comparative purposes.,0
The report distinguishes between operated and non-operated assets.,0
Workforce data includes employees and contractors.,0
Gender diversity metrics are presented in percentage terms.,0
Training activities are categorized by subject area.,0
Community engagement initiatives are described by region.,0
Packaging materials are grouped by type.,0
Plastic content definitions are provided in the methodology section.,0
Water intake figures are measured in cubic metres.,0
Air freight emissions are reported separately from shipping emissions.,0
Carbon capture projects are described by development stage.,0
Assurance statements are included as annexes.,0
Ethical recruitment principles are outlined in a dedicated section.,0
Supply chain standards are referenced through policy documents.,0
Energy efficiency metrics are defined prior to reporting results.,0
Net-zero terminology is explained in the glossary.,0
Data tables provide year-on-year comparisons.,0
Reporting assumptions are disclosed for transparency.,0
Emissions calculations rely on standardized emission factors.,0
Regional summaries group operations by geography.,0
Safety definitions follow industry-standard terminology.,0
Renewable assets are categorized by technology type.,0
Sustainability governance structures are illustrated in a diagram.,0
Climate-related risks are mapped to business segments.,0
The report includes forward-looking statements disclaimers.,0
All figures are subject to methodological limitations described in the notes.,0
Levi Strauss & Co. committed to achieving net-zero greenhouse gas emissions across its value chain by 2050.,1
The company reduced absolute Scope 1 and Scope 2 greenhouse gas emissions by 81% compared with the base year.,1
Renewable electricity accounted for 99% of electricity used in company-operated facilities.,1
Levi Strauss & Co. set a target to reduce supply chain greenhouse gas emissions by 42% by 2030.,1
Freshwater use in manufacturing was reduced by 27% in high water-stress areas compared with baseline levels.,1
The company committed to reducing freshwater use in manufacturing by 50% by 2025 in water-stressed regions.,1
Levi Strauss & Co. achieved zero waste to landfill at company-operated facilities.,1
The company committed to diverting 50% of waste across strategic suppliers by 2030.,1
Levi Strauss & Co. set a goal to eliminate single-use plastics in consumer-facing packaging by 2030.,1
The company committed to sourcing 100% of its primary materials from preferred or certified sustainable sources by 2030.,1
Levi Strauss & Co. achieved increased waste diversion rates across key supplier facilities.,1
The company committed to achieving zero deforestation across high-risk materials by fiscal year 2025.,1
Levi Strauss & Co. increased the use of certified Screened Chemistry in strategic wet-processing facilities.,1
The company committed to expanding resale and upcycling initiatives across key markets by 2025.,1
Levi Strauss & Co. reported growth in the number of garments reclaimed through its resale programs.,1
The company achieved increased reuse of apparel through its SecondHand recommerce platform.,1
"Levi Strauss & Co. committed to improving apparel worker health, satisfaction, and engagement.",1
The company increased the percentage of Tier 1 suppliers with functional worker-management committees.,1
Levi Strauss & Co. reported progress toward gender-balanced representation in supplier decision-making committees.,1
The company committed to ensuring fairness and competitiveness in total rewards for employees.,1
Levi Strauss & Co. invested in community programs through the Levi Strauss Foundation.,1
The company reported third-party verification of selected greenhouse gas emissions data.,1
Levi Strauss & Co. aligned its climate targets with the recommendations of the TCFD.,1
"The company committed to science-based emissions reduction targets across Scopes 1, 2, and 3.",1
Levi Strauss & Co. increased renewable energy procurement year over year.,1
The company reduced absolute emissions across owned and operated facilities.,1
Levi Strauss & Co. established formal governance structures to oversee sustainability targets.,1
The company expanded supplier participation in environmental and social compliance programs.,1
Levi Strauss & Co. invested in water stewardship initiatives across its supply chain.,1
The company reported year-over-year progress toward long-term sustainability goals.,1
Levi Strauss & Co. believes sustainability is central to its long-term success.,0
The company aims to create a more sustainable apparel industry.,0
Levi Strauss & Co. continues to explore opportunities to reduce its environmental footprint.,0
The company strives to operate responsibly across its value chain.,0
Levi Strauss & Co. is working toward embedding sustainability into everyday decision-making.,0
Sustainability considerations are integrated into the company's business strategy.,0
Levi Strauss & Co. focuses on long-term environmental and social resilience.,0
The company prioritizes responsible sourcing as part of its sustainability approach.,0
Levi Strauss & Co. considers climate risks when planning future operations.,0
The company emphasizes collaboration with suppliers on sustainability topics.,0
Oversight of sustainability matters sits with senior leadership and the board.,0
Levi Strauss & Co. maintains internal policies to guide ESG decision-making.,0
The company reviews sustainability priorities on a regular basis.,0
Governance structures are in place to monitor sustainability initiatives.,0
Levi Strauss & Co. engages cross-functional teams to manage ESG topics.,0
Greenhouse gas emissions are calculated using internationally recognized methodologies.,0
Some sustainability metrics are reported on a calendar-year basis.,0
Data limitations may affect the comparability of reported results.,0
Supplier-reported data is used for certain environmental metrics.,0
Reported figures may differ due to rounding or methodological updates.,0
Climate change presents risks and opportunities for the apparel sector.,0
Water scarcity is a growing challenge in many sourcing regions.,0
Biodiversity loss is a systemic issue affecting global supply chains.,0
Worker well-being remains a priority across the apparel industry.,0
Circularity is an evolving concept within fashion and retail.,0
This section outlines Levi Strauss & Co.'s sustainability strategy.,0
"The report provides an overview of environmental, social, and governance topics.",0
This page describes how sustainability goals are reviewed internally.,0
The document explains how ESG data is collected and disclosed.,0
The report includes additional details in the methodology appendix.,0
The climate scenario analysis considered two climate change pathways.,0
This section describes the Climate Transition Plan.,0
Goals are measured against defined base years.,0
Facilities reaching 90% diversion are designated as zero waste.,1
The following table summarizes emissions by scope.,0
Certain calculations rely on supplier-provided data.,0
Metrics are measured in calendar months.,0
This section outlines reporting boundaries.,0
Percentages may not total 100% due to rounding.,0
The ESG report includes multiple performance tables.,0
The document references compliance frameworks.,0
We reported zero operational waste to landfill.,1
Carbon emissions per square foot decreased year over year.,1
Explanations of sustainability metrics are included.,0
We donated £5.6 million to community causes.,1
Renewable electricity usage increased across UK and ROI stores.,1
Definitions of sustainability terms are provided.,0
We invested in low-carbon bio-LNG logistics vehicles.,1
We exceeded its plastic reduction target.,1
We reached 85% redistribution of edible food surplus.,1
Supplier traceability expanded across fibre materials.,1
Details about data collection processes are included.,0
This section introduces the net zero roadmap.,0
We provides an overview of its supply chain.,0
"In 2023/24, 70% of polyester used in Clothing and Home products came from verified recycled sources.",1
The company verified emissions data through third-party assurance.,1
The company committed to achieving net zero emissions across its entire value chain by 2040.,1
The document references external assurance providers.,0
Supplier Higg FEM verification reached 77% at Tier 1 facilities.,1
Details about reporting boundaries are explained.,0
This section introduces environmental focus areas.,0
We describes its ESG strategy framework.,0
The company committed to sourcing 100% deforestation-free soy by 2025/26.,1
Food sales from healthier products reached nearly 70%.,1
The ESG report includes glossary definitions.,0
Energy-saving initiatives cut 24 million kWh of electricity usage.,1
The document lists reporting references.,0
The report outlines governance committee responsibilities.,0
Clothing and Home plastic packaging recyclability reached 80%.,1
The business achieved Tier 1 ranking in farm animal welfare benchmarks.,1
This section lists assessment metrics.,0
This section introduces responsible sourcing topics.,0
Descriptions of stakeholder engagement are provided.,0
The ESG strategy is explained conceptually.,0
The report references international sustainability standards.,0
Operational waste to landfill remained at 0% across owned operations.,1
The company achieved 50% female representation in senior leadership roles.,1
Recycled polyester usage reached 70% across product ranges.,1
We removed 144 million pieces of plastic from its packaging portfolio.,1
We achieved 70 million meals donated through community partnerships.,1
Reporting assumptions are explained.,0
The company reduced gas and electricity usage across retail estates.,1
Water efficiency initiatives reduced freshwater usage in supply chains.,1
"Definitions of Scope 1, Scope 2, and Scope 3 emissions are provided.",0
All Fairtrade tea and coffee products maintained 100% certification.,1
The retailer achieved 98% RSPO-certified sustainable palm oil sourcing.,1
This section explains risk assessment approaches.,0
The document explains reporting methodologies used.,0
"Energy efficiency initiatives reduced emissions by 6,000 tonnes of CO2e annually.",1
This section outlines the structure of the ESG report.,0
Methodologies for calculating emissions are described.,0
The report outlines future focus areas.,0
"We're in the business of accelerating life's possibilities... energy and products we produce support industrial and residential needs",1
"Our employees reported over 57,000 volunteer hours... reduced the most severe DEIs more than 30%",1
"In 2024, we confirmed our Core Values... established ambitious goals to reduce fresh water use",1
"We have been in business for 138 years... commitment to excellence drives us",1
"Freshwater withdrawal intensity is down 18% from a 2016 baseline... reduced methane emissions intensity",1
"2024 Sustainability Highlights including reductions, investments, awards, and targets",1
"Please see Page 9 for information regarding our commitment to biodiversity and Scope 3 reporting",0
"We work to optimize operations from our refineries",1
"Measures have reduced absolute Scope 3 Category 11 emissions by 5%",1
"We adopted a Scope 1 and 2 GHG emissions intensity reduction target",1
"Emissions intensity reduction target to reduce intensity 30% by 2030",1
"We are on track to achieve our Scope 1 and 2 goal prior to 2030",1
"Sustaining capital underpins our commitment... setting a new target of 38% reduction",1
"Companywide Scope 1 and 2 GHG emissions intensity trajectory and initiatives",1
"Energy efficiency improvements and EPA recognition through Focus on Energy program",1
"ENERGY STAR Challenge goal to reduce energy intensity by 10%",1
"Key performance indicators developed and facilities achieved the challenge",1
"Exceeded goal by recovering 129,000 pounds of steam and energy intensity decreased",1
"Energy efficiency initiatives and ENERGY STAR certified refineries listing",1
"Efforts will further reduce energy use and strengthen asset position",1
"ENERGY STAR Partner of the Year Sustained Excellence Award",1
"Expanded methane emissions intensity reduction target to 75% below 2016 by 2030",1
"Implemented methane reduction measures achieving 13,000 tonnes per year reduction",1
"Advanced technologies deployed to improve emissions measurement accuracy",1
"Updates to GHG reporting rules effective for 2025 emissions",0
"Methane slip definition and explanation",0
"Plan to adjust targets and phase out high-bleed pneumatic controllers",1
"Pipeline launcher designs reduce methane emissions by up to 85%",1
"Target of 75% reduction of MPLX methane emissions",1
"Strategy to expand fuels manufacturing and invest in renewable opportunities",1
"390,000 tonnes of CO2 captured from operations in 2024",1
"Description of conservation strategies such as recycling water and restoring vegetation",0
"Monitoring wetland and waterway crossing sites by habitat teams",0
"Sustainable landscapes target to apply practices to 10,000 acres by 2025",1
"Implementation plans and biodiversity partnership commitments",1
"Execution of biodiversity plans and monarch butterfly support",1
"Target to apply sustainable landscapes to 10,000 acres by 2025",1
"Integrated Vegetation and Habitat Management definitions",0
"Integrated Habitat Management definition",0
"Companywide target to reduce freshwater withdrawal intensity 20% by 2030",1
"Achieved an 18% reduction in freshwater withdrawal intensity",1
"Refinery wastewater enhancements enabling reuse through reverse osmosis",1
"Uses of water in refining and MPLX operations",0
"Reduced freshwater use through innovations and water framework discussion",1
"Water coordinators, hydrostatic testing, and repair activities description",0
"Water withdrawals measured to benchmark consumption",0
"Spill prevention section stating zero is the goal",1
"Regular drills ensure response readiness and incident response outcomes",1
"Implemented real-time public-facing air monitoring systems",1
"Audit findings tracked to resolution and safety training reported",1
"Goal to maintain a workplace free from accidents",1
"Safety honors, task force activity, and BBS completions reported",1
"Employee networks and benefits supporting wellbeing",0
"Compressed work schedule and employee benefits description",0
"Health services, wellness programs, and support resources description",0
"Complaint handling metrics and response times reported",1
"Community social impacts reported by grant recipients",1
"Social impact metrics including beneficiaries and CO2 reductions",1
"Supplier Code of Conduct and ethical expectations description",0
"Ethics certification and human rights risk mitigation aims",1
"100% of salaried employees completed Code of Conduct certification",1
"Compliance committee structure and training completion rates",1
"100% senior financial officers completed ethics certification",1
"99% of employees completed cybersecurity awareness training",1
"Report scope, SASB reference, and CDP reporting alignment",0
"Environmental expenditure tables and reporting methodology explanation",0
"EEO-1 workforce demographic statistics tables",1
"Footnotes defining gases and data comparability",0
"Historic data revisions and fatality rate reporting explanation",0
"Inspection frequency conformity and reporting definitions",0
"Process Safety Event tier definitions",0
"Scope 3 emissions definition",0
"Forward-looking statements disclaimer and terminology",0
"Emissions performance is discussed in the context of long-term climate trends.",0
"The report provides context on how emissions data should be interpreted.",0
"Sustainability efforts are described alongside broader industry challenges.",0
"Carbon management is addressed as part of the company's overall strategy narrative.",0
"Energy use considerations are included in the operational overview.",0
"Water-related risks are highlighted as part of environmental context.",0
"Climate transition topics are discussed without reference to specific outcomes.",0
"The document explains how environmental topics are prioritized internally.",0
"References are made to emissions without presenting quantified changes.",0
"The section discusses sustainability themes relevant to the sector.",0
"Environmental indicators are mentioned for informational purposes.",0
"The report contextualizes waste management within regulatory expectations.",0
"Climate-related language is used to frame long-term business considerations.",0
"Operational sustainability topics are introduced at a high level.",0
"The narrative discusses emissions in relation to business resilience.",0
"Environmental terminology is used descriptively rather than quantitatively.",0
"The report situates sustainability within a broader risk management discussion.",0
"Energy transition concepts are explained without operational assertions.",0
"Water stewardship is discussed as an area of ongoing attention.",0
"The document references emissions categories for clarity.",0
"Sustainability language is used to describe reporting scope.",0
"The section provides background on carbon accounting principles.",0
"Environmental considerations are framed as part of strategic awareness.",0
"The report outlines how sustainability topics are reviewed.",0
"Climate topics are referenced without specifying performance levels.",0
"The document explains why certain sustainability issues are material.",0
"Environmental risks are discussed conceptually.",0
"The narrative introduces sustainability-related terminology.",0
"References to emissions are made without indicating direction or magnitude.",0
"The report discusses sustainability challenges faced by the industry.",0
"Environmental factors are included in the discussion of external trends.",0
"The document provides explanatory notes on climate-related concepts.",0
"Sustainability is referenced in relation to governance structures.",0
"The report explains how environmental data is categorized.",0
"Climate considerations are discussed at a strategic level.",0
"The narrative provides context for understanding emissions disclosures.",0
"Sustainability topics are described without time-bound statements.",0
"The document references environmental frameworks for context.",0
"Energy and emissions are mentioned as relevant operational factors.",0
"The report explains how sustainability information is organized.",0
"Environmental language is used to frame reporting sections.",0
"Climate-related issues are acknowledged without performance attribution.",0
"The section discusses sustainability from a qualitative perspective.",0
"Environmental considerations are introduced as part of long-term planning.",0
"The report provides background on sustainability reporting practices.",0
"References to climate issues are informational rather than evaluative.",0
"Sustainability topics are included to support transparency.",0
"The document explains how environmental topics are presented.",0
"Climate-related concepts are described without claims of progress.",0
"This report covers Shell’s social, safety and environmental performance in 2023.",0
"The Sustainability Report is published annually by Shell.",0
"The report is structured around the Powering Progress strategy.",0
"This section explains Shell’s approach to sustainability.",0
"Scope 1 emissions refer to direct greenhouse gas emissions from sources under operational control.",0
"Scope 2 emissions relate to indirect emissions from the generation of purchased energy.",0
"Scope 3 emissions include other indirect emissions from the value chain.",0
"The report follows the Greenhouse Gas Protocol Corporate Accounting and Reporting Standard.",0
"Performance data is presented for assets under Shell’s operational control.",0
"This section outlines Shell’s sustainability governance structure.",0
"The Sustainability Committee assists the Board in reviewing sustainability topics.",0
"The report includes explanatory footnotes for emissions data.",0
"Net carbon intensity is measured using grams of CO2 equivalent per megajoule.",0
"This section describes how climate-related risks are assessed.",0
"The report provides background information on energy transition concepts.",0
"(26) To present comparable year-over-year data, the data presented for Fatalities  does not include COVID-19 cases that MPC conservatively recorded as work- related.",0
"Including these cases, 2020 Total Company Employee Fatalities is one,  and 2020 Total Company Employee Fatality Rate is 0.004.",0
"There were no work- related COVID-19 fatalities in 2021, 2022, 2023, or 2024.",0
"(27) To present comparable year-over-year data, the data presented for OSHA  Recordable Incident Rate does not include COVID-19 cases that MPC  conservatively recorded as work related.",0
"Including these cases, 2020 and 2021  Total Company Employee OSHA Recordable Incident Rate is 0.60 and 0.74,  respectively.",0
"2020 and 2021 Refining Employee OSHA Recordable Incident Rate  is 0.39 and 0.34, respectively.",0
"2020 and 2021 MPLX Employee OSHA Recordable  Incident Rate is 1.13 and 1.57, respectively.",0
"There were no COVID-19 related cases  in 2022, 2023, or 2024.",0
"(28) To present comparable year-over-year data, the data presented for Lost Time  Rate does not include COVID-19 cases that MPC conservatively recorded as  work-related.",0
"Including these cases, 2020 and 2021 Total Company Lost Time  Rate is 0.31 and 0.33, respectively.",0
"2020 and 2021 Refining Employee Days Away  Rate is 0.26 and 0.12, respectively.",0
"2020 and 2021 MPLX Employee Days Away  Rate is 0.49 and 0.74, respectively.",0
"There were no COVID-19 related cases in  2022, 2023, or 2024.",0
The Martinez and Los Angeles facilities are currently subject to the California  Cap-and-Trade Program.,0
The Anacortes facility is currently subject to the  Washington Cap-and-Invest Program.,0
"MPLX emissions data includes emissions from all midstream facilities and, as  such, a small amount of MPLX reported emissions are from MPC-owned  midstream facilities.",1
"Location-based Scope 2 emissions that include indirect GHG emissions from  consumption of purchased electricity, heat or steam.",1
As reported in the Toxic Release Inventory (TRI) Program.,0
The legal or regulatory frameworks used to define hazardous waste and  recycled hazardous waste is 40 CFR 260-261.,0
"On May 14, 2021, MPC completed the sale of Speedway to 7-Eleven, Inc.",0
"As a  result of this sale, UST data beginning in 2021 does not include Speedway.",0
Volume of spills in Unusually Sensitive Areas is inclusive of PHMSA- reportable spills only.,0
MPC and MPLX conform to inspection frequency requirements contained in  49 CFR 192 and 195.,0
Nonregulated pipelines are not included.,0
"For all years  presented, 100% of regulated natural gas and hazardous pipeline inspections  were completed as required.",1
"DEIs include releases to the environment (air, land or water), environmental  permit exceedances and agency enforcement actions.",0
Tier 3 and 4 DEIs are the  most significant types of DEIs.,0
DEI performance is only inclusive of assets/entities  that MPC and MPLX owned in the reporting year.(18) The U.S.,0
Geological Survey (USGS) Protected Areas Database v.2.1 is the  nation’s official inventory of public open space and private protected areas and  was used to determine areas of protected conservation status.,0
"Fish and  Wildlife Service (FWS) Critical Habitat, U.S.",0
FWS National Wildlife Refuge and U.S.,0
Endangered Species Habitat datasets were used to determine areas of  endangered species habitat.,0
"As MPC’s and MPLX’s operations are limited to the  U.S., these two datasets are appropriate for the evaluation of this metric in place  of the references suggested in the standard.",0
"As part of its sustainability journey, the company continues to explore opportunities to reduce emissions while balancing operational and financial considerations.",0
"The organisation is working toward embedding sustainability principles across its operations and decision-making processes.",0
"The business aims to support the transition to a lower-carbon economy through innovation and collaboration with stakeholders.",0
"In response to growing climate-related risks, the company is strengthening its approach to environmental management.",0
"The organisation remains focused on improving sustainability performance over time, in line with evolving industry expectations.",0
"The business recognises the importance of addressing water-related risks within its supply chain.",0
"As sustainability considerations become increasingly important, the company is enhancing internal awareness and governance structures.",0
"The organisation continues to prioritise responsible sourcing as part of its broader sustainability strategy.",0
"The business is committed to transparency and accountability in its sustainability reporting practices.",0
"In support of its long-term ambitions, the company is advancing initiatives aimed at reducing environmental impacts.",0
The organisation acknowledges the challenges associated with decarbonisation in energy-intensive sectors.,0
The business continues to align its sustainability approach with global frameworks and best practices.,0
"As part of its climate narrative, the company discusses potential pathways to emissions reductions.",0
The organisation is taking a measured approach to sustainability investments in light of market conditions.,0
The business highlights sustainability as a key consideration in long-term planning.,0
The company continues to refine its sustainability strategy to respond to evolving environmental and social expectations.,0
"As part of its long-term vision, the organisation is considering how sustainability factors can be better integrated into core operations.",0
The business emphasises the importance of responsible practices in shaping its future growth trajectory.,0
"In light of increasing stakeholder interest, the company is reviewing its approach to sustainability governance.",0
The organisation is focused on building internal capabilities to support sustainability-related decision-making.,0
The business recognises that environmental performance is an important component of long-term value creation.,0
The company continues to assess potential risks and opportunities associated with climate change.,0
"As sustainability expectations evolve, the organisation is adapting its internal frameworks and policies.",0
The business supports industry-wide efforts to advance sustainability practices.,0
The company highlights collaboration as a key enabler of sustainability progress.,0
The organisation acknowledges the complexity of sustainability challenges across global value chains.,0
The business continues to engage with stakeholders on sustainability-related topics.,0
"As part of its broader narrative, the company outlines its perspective on environmental responsibility.",0
The organisation is committed to maintaining alignment with relevant sustainability principles.,0
The business views sustainability as an important consideration in strategic planning.,0
The company is enhancing internal discussions around environmental and social priorities.,0
The organisation continues to monitor developments related to sustainability regulation and standards.,0
The business recognises the role of innovation in addressing long-term sustainability challenges.,0
"As part of its reporting approach, the company provides contextual discussion on sustainability themes.",0
The organisation remains attentive to stakeholder feedback on sustainability matters.,0
The business continues to evolve its sustainability approach in response to external trends.,0
The company describes sustainability as an integral part of its corporate identity.,0
The organisation supports transparency in sustainability communication.,0
The business acknowledges that sustainability performance must be considered holistically.,0
The company continues to explore how sustainability considerations can inform operational decisions.,0
"As part of its governance framework, the organisation discusses oversight of sustainability topics.",0
The business highlights the importance of aligning sustainability efforts with business objectives.,0
The company recognises sustainability as a shared responsibility across the organisation.,0
The organisation continues to build awareness of sustainability issues among employees.,0
The business outlines its approach to managing sustainability-related risks.,0
The company positions sustainability as a long-term strategic focus.,0
The organisation reflects on the role of sustainability in navigating future challenges.,0
