company,claim_text,confidence
Shell,U.S. EPA ENERGY STAR Partner of the Year - Sustained Excellence Award for the fifth year in a row Table of Contents Overview Advance Environmental Stewardship Empower,0.861
Shell,"Our People Engage Stakeholders and Communities Execute with Integrity Appendix Additional Resources 11 Methane Emissions Focus on Methane In 2022, we expanded our methane emissions intensity MPLX Methane Emissions Intensity reduction target for MPLX to 75% below 2016 levels by 2030.",0.95
Shell,"Through MPLX s Focus on Methane program, we have implemented measures (methane-scf natural gas input-scf) INDUSTRY ENGAGEMENT",0.892
Shell,"The reduction target applies to MPLX Natural Gas and NGL that have achieved approximately 13,000 tonnes per year of methane emissions Services operations.",0.892
Shell,"Through 2024, we have achieved a 59% reductions and enhanced system efficiency relative to a 2016 baseline.",0.949
Shell,reduction in our methane emissions intensity from 2016 levels.,0.955
Shell,"Actual Goal Trajectory In 2024, advanced technologies were deployed to enhance measurement-",0.941
Shell,"Since the extension of our target, the U.S. EPA has issued Frequent and effective communication with our peers 0.040% informed emission inventories, improving accuracy and transparency.",0.824
Shell,"updates to its GHG reporting rules, which are effective for and academic institutions is a key element to Investments in these initiatives, coupled with expanded advocacy and industry 2025 emissions (to be reported in 2026).",0.851
Shell,"These updates achieving our methane intensity reduction engagement, have strengthened data-driven decision-making and reinforced included significantly higher emission factors for select aspirations.",0.95
Shell,Sharing best practices with our peers and 0.030% MPLX s commitment to lowering our methane intensity.,0.949
Shell,"equipment, such as compressor engines due to methane slip.",0.849
Shell,research partners allows MPLX to identify and Methane slip refers to methane released into the atmosphere 75% Reductions execute on the highest-priority opportunities for d co u m e m to o,0.882
Shell,"d re tu s, r b h",0.762
Shell,most 0.020% reduction M RE P D L U X C F T O IO CU N S S AREAS FOR METHANE a 2 c 0 h p 1 ie e 6 v r ( e y t d,0.929
Shell,i h s e si s o e n,0.75
Shell,i n d d e u te s c tr t y io g n r o a u n p d s r e in d,0.804
Shell,c u lu ct d io e n technologies.,0.864
Shell,"A few Extensive testing conducted by MPLX indicates that our actual Maintenance Venting and Other Controls Appalachian Methane Initiative (AMI) Led by the engine performance generally resulted in lower emissions 0.010% We are optimizing maintenance venting to reduce emissions going to Energy Emissions Modeling and Data Lab an than these revised EPA factors, but at rates higher than the the atmosphere, including using vapor recovery units and portable 5,000 initiative of the University of Texas, Colorado State factors used in the current rule.",0.824
Shell,The data from our compressor flares.,0.898
Shell,"Additionally, newly constructed systems are designed with lower University, and the Colorado School of Mines engine study, as well as the updated EPA emission factors, potential for methane emissions.",0.858
Shell,"0.000% AMI is a proactive, first-of-its-kind basinwide reported methane emissions.",0.911
Shell,"Accordingly, we plan to adjust We are phasing out high-bleed pneumatic controllers at our 3,000 emissions monitoring and facilitate methane our affected targets when the new reporting and emission compressor stations.",0.92
Shell,Addressing Methane Slip emissions reductions in the Appalachian Basin.,0.954
Shell,"Leak Detection and Repair (LDAR) AMI aims to establish operator and basinwide We are actively implementing and expanding the We adopted an enhanced LDAR program at our gas processing and 3,000 metrics that will drive long-term reductions.",0.904
Shell,following equipment performance optimizations to fractionation plants to reduce fugitive methane emissions intensity.,0.953
Shell,Methane Emissions Intensity (methane-scf natural gas input-scf) reduce methane slip Pipeline Launchers and Receivers Colorado State University Methane Emissions We designed pipeline launcher and receiver stations to reduce Engine Upgrade Kits,0.94
Shell,"Goal ò Progress methane and volatile organic compound emissions by as much as 85% introduced cost-effective, low-emission upgrade kits 1,000 Operated by the Energy Institute at CSU, METEC is each time they are opened as part of required operation.",0.948
Shell,"a leading research facility for developing, testing, reducing methane slip while also lowering other co-",0.921
Shell,and demonstrating emissions leak detection and pollutants.,0.916
Shell,"Fuel Optimization Through our Equipment, We are installing low-emissions packing material and measurement 1,000 The Environmental Partnership (TEP) TEP is ports on reciprocating compressors.",0.862
Shell,"we are enhancing efficiency and reducing emissions members that share reliability, emission and Flaring Improvements 1 75% by optimizing fuel use.",0.951
Shell,Our goal is to deploy ECHO operations metrics to progress efficiency and We are implementing process improvements to reduce flaring and - throughout the MPLX Natural Gas and NGL Services improved environmental outcomes.,0.947
Shell,operational footprint by the end of 2026.,0.941
Shell,"Advancing Measurement and Quantification Technology 1 Data-Driven Maintenance We are prioritizing engine We are analyzing data from Fourier transform infrared spectroscopy maintenance and overhauls based on insights from testing and employing advanced monitoring technologies, such as - aerial detection data, facilitating targeted emission satellite imagery, flyovers and drones, to identify leaks and inform reduction efforts.",0.908
Shell,"TOTAL 13,000 TARGET 75% REDUCTION of MPLX methane 1 Ongoing and or future development opportunities.",0.955
Shell,"We seek to optimize our core fuels manufacturing and KEY OBJECTIVES logistics businesses and expand our natural gas business while making strategic, measured investments in renewable RENEWABLE FUELS PORTFOLIO",0.929
Shell,"Identify and pursue renewable and low-carbon energy solutions, emerging technologies opportunities that offer attractive and early-stage developments.",0.829
Shell,"returns, lower costs, increase reliability We believe energy supply and technologies will continue to Renewable Diesel Renewable Natural Gas and reduce emissions.",0.927
Shell,"evolve, and we are excited to be engaged in providing energy solutions for a changing world.",0.821
Shell,"Martinez Renewables, a joint venture that we co-own with MPC expanded its portfolio in 2023 to include renewable Deploy emerging technologies that Hydrocarbon fuels are critical to today s economy and are Neste Corporation, has a renewable diesel production natural gas (RNG) through acquisition of a 49.9% interest in reduce environmental impact while likely to continue to be for the foreseeable future.",0.947
Shell,"Optimizing capacity of 730 million gallons per year and includes LF Bioenergy, a renewable energy developer that builds, enhancing business performance.",0.944
Shell,"The facility, which had previously owns and operates facilities that turn organic waste on dairy markets, strategic to our business and foundational to our been a petroleum refinery, reached full capacity in late 2024, farms into RNG.",0.93
Shell,Our investments in placing it among the largest renewable diesel facilities in the commercial operations at five facilities and has two additional renewable fuels serve our customers and contribute to world.,0.936
Shell,sites under construction across the U.S. reducing the carbon intensity of our products.,0.947
Shell,"Our renewable diesel facility in Dickinson, North Dakota, was In 2024, we were one of the largest suppliers of renewable operated as a petroleum refinery until its conversion to fuels in the U.S., delivering approximately 2.8 billion gallons renewables in 2020.",0.938
Shell,Our investments have 184 million gallons per year of renewable fuels.,0.917
Shell,"positioned us to be able to offer our customers lower-carbon We implement a risk-based approach to responsibly source intensity products, and this volume of renewable fuel These facilities exemplify how MPC has transitioned certain feedstocks for our renewable diesel facilities.",0.911
Shell,"We evaluate avoided approximately 15.8 million tonnes of CO 2 facilities to enable access to customers in lower-carbon current and prospective suppliers, countries of origin and transportation emissions.1 markets while seeking to utilize existing assets and new feedstock varieties. workforce.",0.928
Shell,"pounds of refined soybean oil annually, enough feedstock for 600 approximately 75 million gallons of renewable diesel per year.",0.95
Shell,We continue to monitor the sustainability of our gallons of renewable fuels renewables sourcing practices.,0.917
Shell,"produced in 20242 a company record 1 MPC estimated avoided emissions using fuel carbon intensity values generated per the California Air Resources Board Low Carbon Fuel Standard life-cycle analysis models and documentation (i.e., CA- GREET 3.0).",0.95
Shell,"The event focused on emerging energy solutions, allowing innovative startups to Corporation to advance the commercialization of Blue MPC became a strategic investor and development present their transformative technologies in areas such as energy industry modernization, energy supply chain optimization, Planet s patented Geomimetic technology, which uses partner in Flyscan.",0.916
Shell,"Employees participated in pitch previews, one-on-one mineralization to sequester and permanently store CO in detection of threats and hydrocarbon leaks along sessions with startup ventures and as a judge for the final pitch competition.",0.918
Shell,2 pipeline rights of way using its patented aerial the built environment.,0.936
Shell,stores CO in synthetic limestone aggregate used to 2 make concrete and other building products.,0.911
Shell,"Sapphire Technologies Bioleum MPC invested in Sapphire Technologies, a developer MPC invested in Bioleum Corporation (formerly Comstock and manufacturer of energy recovery systems for Carbon Capture, Utilization and Sequestration natural gas applications.",0.943
Shell,The CO generated in an commercial framework to advance Bioleum s process.,0.862
Shell,"Electra Lith Sustainable Lithium MPC invested in STAX Engineering, which is MPC and MPLX support the continued development and use of CCUS technology as a strategy to reduce emissions of CO and the developing emissions-capturing technology on marine 2 MPC invested in Electra Lith Sustainable Lithium, whose carbon intensity of the products we supply.",0.939
Shell,Electra Lith has been recognized by the World Economic Forum as a top innovator in the Sustainable Mining Mining the Unmined Challenge.,0.805
Shell,"390,000 industrial tonnes applications AND of CO captured from MPC and food and beverage 2 MPLX operations and their industry respective joint ventures in 2024 for use in Table of Contents Overview Advance Environmental Stewardship Empower",0.885
Shell,"We are committed to minimizing our from our investigations of 2024 DEIs to inform process Finance Corporation s Performance Standards on Environmental environmental impact through advanced technologies, improvements and other measures designed to address root Our formal Commitment to Biodiversity outlines our approach and and Social Sustainability.¹ practices and investments that conserve natural causes and reduce the number of incidents.",0.795
Shell,Governed by executive leadership and adopted resources.,0.797
Shell,through the funding of approved conservation mitigation banks or using other mechanisms to provide ongoing protection to similar Environmental Management 2020 50,0.913
Shell,enhancement and conservation education on corporate Learn more in the OEMS section.,0.796
Shell,"31,000 hours of environmental training contributions in Detroit, Michigan.",0.954
Shell,severe and Tiers 3 and 4 being more severe.,0.877
Shell,"A TEXAS-SIZED COLLABORATION integrating pipeline safety with land stewardship, specific risks and dependencies of our pipeline operations located FOR CONSERVATION offering farmers an opportunity to enhance crops and within areas of threatened or endangered species habitat.",0.919
Shell,"Risks In 2024, we engaged a certified wildlife biologist to monitor support healthy ecosystems.",0.947
Shell,The project yielded sector on its Tx N 20 list.,0.894
Shell,APPLIED TO MITIGATE IMPACTS TO NATURE sustainability.,0.858
Shell,MPC investments and conservation efforts in the state Conservation Mowing of Texas that earned Tx N s recognition involved Adjusting mowing schedules and mower height throughout Reduce MPC s El Paso and Galveston Bay refineries as well as the year helps protect ground-nesting birds and avoid Natural Gas and NGL Services assets of MPLX.,0.929
Shell,disturbing wildlife during important migration periods.,0.885
Shell,Weed management plans keep treated areas into construction of natural gas gathering pipelines in free of invasive and non-native weeds.,0.922
Shell,Rocky Mountain bee plant and annual sunflower to the Permian and Haynesville Basins.,0.895
Shell,outcompete the halogeton weed through rapid biomass production and shading.,0.918
Shell,"An additional air quality monitoring station was Enhanced Planting purchased for Juarez, Mexico, El Paso s sister city Planting seeds that attract pollinators or provide food to Restore across the border, to strengthen data collection in boost biodiversity helps crowd out incompatible or invasive plants.",0.951
Shell,"Implement erosion control processes, including reshaping the Paso del Norte Air Basin.",0.944
Shell,"The El Paso refinery also terrain, applying seed mixes and enforcing stabilization replaced hydrostatic tank testing with an alternate practices based on severity and soil type to restore area to method, saving millions of gallons of water.",0.946
Shell,Hand Clearing a more natural state.,0.92
Shell,Clearing woody plants by hand and using targeted MPC awarded grants to the Galveston Bay treatments help minimize disruption in the area.,0.939
Shell,"Areas deemed to be higher risk received treatments based Foundation in support of habitat restoration, water on assessment recommendations and are currently being protection and land conservation.",0.917
Shell,"We promoted environmental awareness through Conducting post-construction surveys and research to community projects, including tree plantings, verify sensitive areas have been appropriately restored.",0.949
Shell,pipeline rights of way to confirm they are fully restored demonstrating our and functioning.,0.933
Shell,commitment to Training employees and contractors about biodiversity environmental and maintaining assets in sensitive areas.,0.942
Shell,Mule Deer Foundation to evaluate habitat impacts in western states near our assets.,0.917
Shell,"safely while enhancing habitat for pollinators and wildlife, reducing Evaluating existing vegetation and setting site-",0.892
Shell,Corteva Agriscience to create innovative agricultural solutions and utilize resources to educate landowners.,0.91
Shell,"(acres) Developing implementation plans Nationwide Conservation Agreement ò 2025 Goal ò Progress Plans consider site-specific goals to promote native for the Monarch Butterfly species, increase pollinator plants, promote water 8,825 acres quality and soil stabilization, and connect fragmented MPLX proudly signed the Nationwide Candidate habitats.",0.812
Shell,Plans prioritize pollinator and grassland Conservation Agreement with Assurances habitats that provide critical habitats for threatened (CCAA) for Monarch Butterflies on Energy and and endangered species.,0.837
Shell,"Transportation Lands, a unique collaboration between academia, regulators and industry.",0.827
Shell,We achieve this by technology to track progress and achieve desired enhancing our rights of way to promote the acres outcomes.,0.804
Shell,growth of milkweed and nectar resources.,0.937
Shell,"To further our (megaliters million boe input) treatment facilities across our refineries and renewable fuels commitment to water conservation, in 2020 we set a Water is essential to our operations.",0.904
Shell,"Water not reused or consumed is collected at these companywide target to reduce freshwater withdrawal intensity location, we may source water from rivers, lakes, wells on-site facilities to be treated and recycled back into 20% by 2030 from 2016 levels.",0.835
Shell,"Through 2024, we have Actual Goal Trajectory and municipal water plants and also purchase some manufacturing activities, treated and discharged, or treated achieved an 18% reduction in our freshwater withdrawal intensity recycled water for use in our operations.",0.952
Shell,Most of our and sent to a publicly owned treatment works.,0.873
Shell,"Water is 100 from 2016 levels, which equates to almost 2 billion gallons of companywide water demand comes from refining treated to meet or exceed required permit effluent limits, fresh water saved per year.",0.926
Shell,"To manage water 90 cooling units that circulate hot product through air-cooled discharges within permit effluent limits, extensive monitoring, Freshwater Withdrawal Intensity sampling, operator rounds and equipment monitoring is radiators, minimizing the need for water.",0.817
